Wavelength,Intensity
247.1,46
248.6,45
250.0,45
251.4,46
252.9,46
254.3,46
255.7,45
257.1,45
258.6,44
260.0,43
261.4,42
262.9,42
264.3,43
265.7,43
267.1,42
268.6,42
270.0,41
271.4,41
272.9,40
274.3,40
275.7,40
277.1,41
278.6,41
280.0,40
281.4,40
282.9,41
284.3,41
285.7,40
287.1,40
288.6,40
290.0,41
291.4,43
292.9,45
294.3,47
295.7,48
297.1,48
298.6,47
300.0,47
301.4,48
302.9,52
304.3,56
305.7,66
307.1,75
308.6,80
310.0,87
311.4,104
312.9,134
314.3,171
315.7,206
317.1,234
318.6,249
320.0,253
321.4,253
322.9,253
324.3,252
325.7,244
327.1,220
328.6,184
330.0,149
331.4,123
332.9,107
334.3,99
335.7,94
337.1,87
338.6,76
340.0,65
341.4,61
342.9,61
344.3,62
345.7,62
347.1,60
348.6,54
350.0,50
351.4,46
352.9,43
354.3,42
355.7,42
357.1,42
358.6,41
360.0,39
361.4,38
362.9,38
364.3,37
365.7,37
367.1,38
368.6,38
370.0,37
371.4,37
372.9,36
374.3,36
375.7,35
377.1,35
378.6,35
380.0,36
381.4,36
382.9,35
384.3,35
385.7,36
387.1,36
388.6,35
390.0,35
391.4,35
392.9,36
394.3,38
395.7,40
397.1,42
398.6,43
400.0,43
401.4,43
402.9,42
404.3,42
405.7,43
407.1,43
408.6,42
410.0,42
411.4,43
412.9,43
414.3,43
415.7,42
417.1,41
418.6,39
420.0,38
421.4,37
422.9,37
424.3,37
425.7,38
427.1,38
428.6,37
430.0,38
431.4,38
432.9,38
434.3,38
435.7,38
437.1,38
438.6,38
440.0,38
441.4,37
442.9,38
444.3,38
445.7,37
447.1,37
448.6,37
450.0,38
451.4,39
452.9,39
454.3,40
455.7,41
457.1,41
458.6,40
460.0,40
461.4,41
462.9,41
464.3,42
465.7,42
467.1,42
468.6,41
470.0,39
471.4,38
472.9,38
474.3,38
475.7,39
477.1,39
478.6,40
480.0,40
481.4,39
482.9,39
484.3,40
485.7,41
487.1,42
488.6,41
490.0,41
491.4,41
492.9,41
494.3,39
495.7,37
497.1,33
498.6,29
500.0,26
501.4,23
502.9,22
504.3,21
505.7,21
507.1,21
508.6,20
510.0,20
511.4,20
512.9,21
514.3,21
515.7,21
517.1,20
518.6,20
520.0,21
521.4,20
522.9,21
524.3,21
525.7,20
527.1,20
528.6,20
530.0,21
531.4,21
532.9,22
534.3,23
535.7,23
537.1,22
538.6,22
540.0,22
541.4,23
542.9,25
544.3,27
545.7,29
547.1,30
548.6,30
550.0,29
551.4,29
552.9,29
554.3,31
555.7,32
557.1,32
558.6,32
560.0,33
561.4,33
562.9,33
564.3,32
565.7,31
567.1,29
568.6,28
570.0,27
571.4,27
572.9,28
574.3,28
575.7,27
577.1,26
578.6,26
580.0,25
581.4,24
582.9,24
584.3,24
585.7,25
587.1,25
588.6,24
590.0,24
591.4,25
592.9,25
594.3,24
595.7,24
597.1,24
598.6,25
600.0,26
601.4,28
602.9,29
604.3,30
605.7,30
607.1,30
608.6,30
610.0,29
611.4,28
612.9,27
614.3,26
615.7,25
617.1,25
618.6,25
620.0,26
621.4,26
622.9,25
624.3,26
625.7,26
627.1,26
628.6,26
630.0,26
631.4,26
632.9,26
634.3,26
635.7,26
637.1,25
638.6,25
640.0,26
641.4,26
642.9,26
644.3,25
645.7,24
647.1,24
648.6,23
650.0,22
651.4,22
652.9,22
654.3,23
655.7,23
657.1,22
658.6,23
660.0,23
661.4,23
662.9,23
664.3,23
665.7,23
667.1,23
668.6,23
670.0,23
671.4,23
672.9,23
674.3,23
675.7,23
677.1,23
678.6,23
680.0,23
681.4,23
682.9,22
684.3,22
685.7,23
687.1,23
688.6,23
690.0,22
691.4,22
692.9,21
694.3,21
695.7,20
697.1,20
698.6,20
700.0,20
701.4,21
702.9,21
704.3,22
705.7,22
707.1,23
708.6,23
710.0,23
711.4,22
712.9,22
714.3,23
715.7,23
717.1,22
718.6,22
720.0,23
721.4,23
722.9,23
724.3,22
725.7,22
727.1,21
728.6,21
730.0,20
731.4,20
732.9,21
734.3,21
735.7,20
737.1,19
738.6,19
740.0,18
741.4,17
742.9,17
744.3,17
745.7,18
747.1,18
748.6,17
750.0,18
751.4,18
752.9,18
754.3,18
755.7,18
757.1,18
758.6,18
760.0,18
761.4,17
762.9,18
764.3,18
765.7,17
767.1,17
768.6,17
770.0,18
771.4,19
772.9,19
774.3,20
775.7,21
777.1,21
778.6,20
780.0,20
781.4,21
782.9,22
784.3,24
785.7,25
787.1,26
788.6,26
790.0,25
791.4,25
792.9,26
794.3,27
795.7,29
797.1,30
798.6,31
800.0,31
801.4,31
802.9,30
804.3,30
805.7,31
807.1,32
808.6,33
810.0,34
811.4,35
812.9,36
814.3,36
815.7,37
817.1,38
818.6,38
820.0,38
821.4,38
822.9,37
824.3,37
825.7,37
827.1,38
828.6,39
830.0,39
831.4,40
832.9,41
834.3,41
835.7,41
837.1,40
838.6,40
840.0,41
841.4,40
842.9,41
844.3,41
845.7,40
847.1,40
848.6,40
850.0,41
851.4,42
852.9,44
854.3,45
855.7,46
857.1,46
858.6,45
860.0,45
861.4,46
862.9,47
864.3,49
865.7,50
867.1,51
868.6,51
870.0,51
871.4,50
872.9,50
874.3,51
875.7,52
877.1,52
878.6,52
880.0,53
881.4,53
882.9,53
884.3,52
885.7,51
887.1,49
888.6,48
890.0,46
891.4,45
892.9,45
894.3,44
895.7,42
897.1,41
898.6,39
900.0,38
901.4,38
902.9,37
904.3,36
905.7,37
907.1,38
908.6,41
910.0,46
911.4,54
912.9,62
914.3,73
915.7,87
917.1,101
918.6,116
920.0,133
921.4,148
922.9,160
924.3,166
925.7,164
927.1,150
928.6,124
930.0,91
931.4,57
932.9,27
934.3,7
935.7,-2
937.1,-6
938.6,-5
940.0,-2
941.4,0
942.9,0
944.3,0
945.7,0
947.1,0
948.6,0
950.0,0
951.4,0
952.9,0
954.3,0
955.7,0
957.1,0
958.6,0
960.0,0
961.4,0
962.9,0
964.3,0
965.7,0
967.1,0
968.6,0
970.0,0
971.4,0
972.9,0
974.3,0
975.7,0
977.1,0
978.6,0
980.0,0
981.4,0
982.9,0
984.3,0
985.7,0
987.1,0
988.6,0
990.0,0
991.4,0
992.9,0
994.3,0
995.7,0
997.1,0
998.6,0
1000.0,0
1001.4,0
1002.9,0
1004.3,0
1005.7,0
1007.1,0
1008.6,0
1010.0,0
1011.4,0
1012.9,0
1014.3,0
1015.7,0
1017.1,0
1018.6,0
1020.0,0
1021.4,0
1022.9,0
1024.3,0
1025.7,0
1027.1,0
1028.6,0
1030.0,0
1031.4,0
1032.9,0
1034.3,0
1035.7,0
1037.1,0
1038.6,0
1040.0,0
1041.4,0
1042.9,0
1044.3,0
1045.7,0
1047.1,0
1048.6,0
1050.0,0
1051.4,0
1052.9,0
1054.3,0
1055.7,0
1057.1,0
1058.6,0
1060.0,0
1061.4,0
1062.9,0
1064.3,0
1065.7,0
1067.1,0
1068.6,0
1070.0,0
1071.4,0
1072.9,0
1074.3,0
1075.7,0
1077.1,0
1078.6,0
1080.0,0
1081.4,0
1082.9,0
1084.3,0
1085.7,0
1087.1,0
1088.6,0
1090.0,0
1091.4,0
1092.9,0
1094.3,0
1095.7,0
1097.1,0
1098.6,0
1100.0,0
1101.4,0
1102.9,0
1104.3,0
1105.7,0
1107.1,0
1108.6,0
1110.0,0
1111.4,0
1112.9,0
1114.3,0
1115.7,0
1117.1,0
1118.6,0
1120.0,0
1121.4,0
1122.9,0
1124.3,0
1125.7,0
1127.1,0
1128.6,0
1130.0,0
1131.4,0
1132.9,0
1134.3,0
1135.7,0
1137.1,0
1138.6,0
1140.0,0
1141.4,0
1142.9,0
1144.3,0
1145.7,0
1147.1,0
1148.6,0
1150.0,0
1151.4,0
1152.9,0
1154.3,0
